Sleep_Current,Motor_Peak_Current,Failure_Mode
2.38349E-05,0.513362615,LOCK POSITION CONFIRMATION Error
2.55325E-05,0.509150311,LOCK POSITION CONFIRMATION Error
2.64812E-05,0.469443392,LOCK POSITION CONFIRMATION Error
2.78292E-05,0.556705288,LOCK POSITION CONFIRMATION Error
2.49334E-05,0.613069959,LOCK POSITION CONFIRMATION Error
2.728E-05,0.582448351,LOCK POSITION CONFIRMATION Error
2.82287E-05,0.466563093,LOCK POSITION CONFIRMATION Error
2.82287E-05,0.469003818,LOCK POSITION CONFIRMATION Error
1.94412E-05,0.490935917,LOCK POSITION CONFIRMATION Error
2.89277E-05,0.529213523,LOCK POSITION CONFIRMATION Error
2.09391E-05,0.577536851,LOCK POSITION CONFIRMATION Error
2.9377E-05,0.459941117,LOCK POSITION CONFIRMATION Error
2.9377E-05,0.584607433,LOCK POSITION CONFIRMATION Error
3.09748E-05,0.579765114,LOCK POSITION CONFIRMATION Error
2.78292E-05,0.451010572,LOCK POSITION CONFIRMATION Error
3.35211E-05,0.485410924,LOCK POSITION CONFIRMATION Error
2.78792E-05,0.474821591,LOCK POSITION CONFIRMATION Error
2.15382E-05,0.450725878,LOCK POSITION CONFIRMATION Error
2.92273E-05,0.476187499,LOCK POSITION CONFIRMATION Error
2.40846E-05,0.466767901,LOCK POSITION CONFIRMATION Error
2.57322E-05,0.482072124,LOCK POSITION CONFIRMATION Error
3.38706E-05,0.519499088,LOCK POSITION CONFIRMATION Error
2.70803E-05,0.503322765,LOCK POSITION CONFIRMATION Error
2.63314E-05,0.476780253,LOCK POSITION CONFIRMATION Error
2.49833E-05,0.443141321,LOCK POSITION CONFIRMATION Error
2.78292E-05,0.45806172,LOCK POSITION CONFIRMATION Error
2.78292E-05,0.469785206,LOCK POSITION CONFIRMATION Error
2.53827E-05,0.462653308,LOCK POSITION CONFIRMATION Error
2.53827E-05,0.451893416,LOCK POSITION CONFIRMATION Error
3.51688E-05,0.456015849,LOCK POSITION CONFIRMATION Error
3.19234E-05,0.455866065,LOCK POSITION CONFIRMATION Error
2.82786E-05,0.505480924,LOCK POSITION CONFIRMATION Error
3.37708E-05,0.465423212,LOCK POSITION CONFIRMATION Error
3.34712E-05,0.461415115,LOCK POSITION CONFIRMATION Error
2.68806E-05,0.543272334,LOCK POSITION CONFIRMATION Error
2.38349E-05,0.491419728,LOCK POSITION CONFIRMATION Error
3.14241E-05,0.472856786,LOCK POSITION CONFIRMATION Error
3.11745E-05,0.501656715,LOCK POSITION CONFIRMATION Error
3.11745E-05,0.534251909,LOCK POSITION CONFIRMATION Error
2.80789E-05,0.543585089,LOCK POSITION CONFIRMATION Error
3.38207E-05,0.549302261,LOCK POSITION CONFIRMATION Error
2.99762E-05,0.537314255,LOCK POSITION CONFIRMATION Error
3.12244E-05,0.494156932,LOCK POSITION CONFIRMATION Error
3.19234E-05,0.546389203,LOCK POSITION CONFIRMATION Error
3.19234E-05,0.546223788,LOCK POSITION CONFIRMATION Error
3.19234E-05,0.54534294,LOCK POSITION CONFIRMATION Error
2.61317E-05,0.539676596,LOCK POSITION CONFIRMATION Error
2.81288E-05,0.537291637,LOCK POSITION CONFIRMATION Error
2.91274E-05,0.520841428,LOCK POSITION CONFIRMATION Error
3.03257E-05,0.454186454,LOCK POSITION CONFIRMATION Error
2.99762E-05,0.540859314,LOCK POSITION CONFIRMATION Error
2.94769E-05,0.541760383,LOCK POSITION CONFIRMATION Error
2.54826E-05,0.470567959,LOCK POSITION CONFIRMATION Error
2.42843E-05,0.47201753,LOCK POSITION CONFIRMATION Error
2.97265E-05,0.53244393,LOCK POSITION CONFIRMATION Error
