Sleep_Current,Motor_Peak_Current,
2.648116572201E-05,0.462224763,OK
2.708031210225E-05,0.468006439,OK
2.343550495588E-05,0.453807797,OK
2.568230388163E-05,0.471151164,Retry:PMC_DIN_WAIT_FOR_STATUS
2.253678538553E-05,0.439072624,OK
2.548258842150E-05,0.473621149,OK
2.348543382080E-05,0.470694661,OK
2.668088118210E-05,0.475564582,OK
2.383493587579E-05,0.466773641,OK
2.248685652038E-05,0.465821146,OK
2.278642971052E-05,0.453953784,OK
2.663095231704E-05,0.467591926,OK
2.403465133608E-05,0.476141363,OK
2.703038323723E-05,0.463096025,UNLOCK POSITION CONFIRMATION Error; (1)
2.268657198044E-05,0.449285377,OK
2.413450906601E-05,0.456761698,OK
2.358529155074E-05,0.478119199,OK
2.163806581509E-05,0.46608527,OK
2.423436679581E-05,0.479877797,OK
2.608173480188E-05,0.442483308,OK
2.468372658127E-05,0.45839057,OK
2.443408225625E-05,0.473552845,TEST KEYS Error Keys Found = 10
2.553251728669E-05,0.476052889,OK
2.388486474072E-05,0.466165008,OK
2.513308636654E-05,0.469174427,Retry:PMC_DIN_WAIT_FOR_STATUS
2.628145026154E-05,0.49092428,OK
2.638130799184E-05,0.455120124,OK
2.193763900506E-05,0.462411159,OK
2.143835035481E-05,0.437736015,OK
2.608173480187E-05,0.450459269,OK
2.558244615159E-05,0.460191612,OK
2.732995642712E-05,0.472233772,OK
2.378500701103E-05,0.447926712,OK
2.408458020102E-05,0.462904597,OK
2.323578949581E-05,0.471683605,OK
2.568230388159E-05,0.46280414,OK
2.767945848236E-05,0.472069456,OK
2.563237501672E-05,0.469388969,Retry:PMC_DIN_WAIT_FOR_STATUS
2.353536268594E-05,0.458225806,OK
2.343550495587E-05,0.462957421,OK
2.658102345176E-05,0.448573353,OK
2.388486474096E-05,0.475703536,Retry:KEYS TEST
2.473365544601E-05,0.460648258,OK
2.353536268527E-05,0.459035353,OK
2.523294409654E-05,0.485823938,OK
2.208742560009E-05,0.485465446,OK
2.103891943492E-05,0.481725467,OK
2.698045437215E-05,0.467913473,OK
2.718016983221E-05,0.457969421,OK
2.343550495576E-05,0.473198949,OK
2.223721219515E-05,0.470724868,OK
2.363522041596E-05,0.477144035,OK
2.817874713244E-05,0.471477149,OK
2.463379771633E-05,0.447295311,OK
2.408458020096E-05,0.46650073,OK
2.313593176573E-05,0.468477865,OK
2.508315750152E-05,0.47823753,OK
2.223721219544E-05,0.448571997,UNLOCK POSITION CONFIRMATION Error; (1)
2.553251728669E-05,0.471328709,OK
2.248685652044E-05,0.448301179,OK
2.728002756220E-05,0.467666321,UNLOCK POSITION CONFIRMATION Error; (1)
2.767945848237E-05,0.462270399,OK
2.368514928099E-05,0.459376816,OK
2.378500701089E-05,0.467739417,OK
2.378500701089E-05,0.467739417,UNLOCK POSITION CONFIRMATION Error; (1)
2.752967188741E-05,0.441302419,OK
2.448401112129E-05,0.479894372,OK
2.448401112115E-05,0.444203771,OK
2.817874713262E-05,0.456418477,OK
2.378500701102E-05,0.465856051,UNLOCK POSITION CONFIRMATION Error; (1)
2.538273069155E-05,0.448337377,OK
2.762952961722E-05,0.482751258,Retry:KEYS TEST
2.742981415723E-05,0.445962113,OK
2.423436679615E-05,0.458333215,OK
2.493337090640E-05,0.459046037,OK
2.772938734729E-05,0.489325956,OK
2.483351317641E-05,0.486380048,Retry:PMC_DIN_WAIT_FOR_STATUS
2.553251728653E-05,0.459684129,OK
2.468372658136E-05,0.476984114,OK
2.448401112130E-05,0.471785211,Retry:KEYS TEST
2.368514928097E-05,0.482002425,TEST KEYS Error Keys Found = 4
2.563237501670E-05,0.462812528,OK
2.902753783784E-05,0.464903504,TEST KEYS Error Keys Found = 2
2.453393998622E-05,0.4742165,Retry:KEYS TEST
2.747974302230E-05,0.456931558,Retry:KEYS TEST
2.638130799168E-05,0.456432955,OK
2.782924507749E-05,0.441816657,OK
2.563237501663E-05,0.546662214,OK
2.543265955649E-05,0.474795427,OK
2.693052550668E-05,0.452237078,OK
2.208742560010E-05,0.4834947,OK
2.378500701089E-05,0.455804252,OK
2.433422452615E-05,0.478084347,OK
2.443408225610E-05,0.480102177,OK
2.533280182662E-05,0.469216565,Retry:PMC_DIN_WAIT_FOR_STATUS
2.368514928097E-05,0.495478851,OK
2.723009869720E-05,0.476408934,OK
2.458386885108E-05,0.483187239,UNLOCK POSITION CONFIRMATION Error; (1)
2.213735446528E-05,0.448866678,OK
2.448401112123E-05,0.453011379,OK
2.598187707158E-05,0.441570365,OK
2.648116572195E-05,0.4729867,OK
2.488344204118E-05,0.465702965,OK
2.518301523143E-05,0.453011483,OK
2.787917394238E-05,0.470047183,OK
2.548258842154E-05,0.458881931,OK
2.403465133566E-05,0.452918559,OK
2.288628744051E-05,0.454301338,Retry:KEYS TEST
2.458386885129E-05,0.452192658,OK
2.952682648796E-05,0.484322073,OK
2.483351317617E-05,0.453312947,OK
2.538273069113E-05,0.453032944,OK
2.553251728635E-05,0.473320475,OK
2.323578949574E-05,0.500226199,OK
2.493337090633E-05,0.483767462,OK
2.443408225618E-05,0.494624718,OK
2.443408225618E-05,0.494624718,UNLOCK POSITION CONFIRMATION Error; (1)
2.653109458705E-05,0.477687414,Retry:PMC_DIN_WAIT_FOR_STATUS
2.363522041581E-05,0.458699032,OK
2.363522041581E-05,0.458699032,UNLOCK POSITION CONFIRMATION Error; (1)
2.363522041581E-05,0.458699032,UNLOCK POSITION CONFIRMATION Error; (1)
2.238699879046E-05,0.491804129,OK
2.238699879046E-05,0.491804129,UNLOCK POSITION CONFIRMATION Error; (1)
2.288628744042E-05,0.488114278,OK
2.333564722573E-05,0.476570152,UNLOCK POSITION CONFIRMATION Error; (1)
2.518301523151E-05,0.479644379,OK
2.628145026196E-05,0.54312694,OK
2.837846259256E-05,0.464937759,OK
2.618159253163E-05,0.485824286,OK
2.298614517069E-05,0.470220287,Tecla 2
2.478358431107E-05,0.444362051,OK
2.603180593686E-05,0.484431118,OK
2.668088118209E-05,0.480576852,OK
2.438415339124E-05,0.451621254,Retry:PMC_DIN_WAIT_FOR_STATUS
2.698045437204E-05,0.47643779,OK
2.263664311554E-05,0.465800581,Retry:PMC_DIN_WAIT_FOR_STATUS
2.468372658136E-05,0.487370636,Retry:PMC_DIN_WAIT_FOR_STATUS
2.503322863641E-05,0.478121396,Retry:PMC_DIN_WAIT_FOR_STATUS
2.383493587600E-05,0.513362615,LOCK POSITION CONFIRMATION Error; (0)
2.443408225620E-05,0.476563013,OK
2.847832032240E-05,0.464393029,OK
2.408458020090E-05,0.458849317,OK
2.568230388158E-05,0.47004174,OK
2.747974302235E-05,0.471474304,OK
2.638130799184E-05,0.456197644,OK
2.713024096721E-05,0.475073033,OK
2.812881826732E-05,0.475979642,OK
2.623152139685E-05,0.480016299,OK
2.747974302224E-05,0.468034698,OK
2.802896053755E-05,0.460643467,OK
2.503322863643E-05,0.47745005,OK
2.468372658136E-05,0.476423313,OK
2.598187707184E-05,0.46967701,OK
2.877789351249E-05,0.447195253,OK
2.543265955654E-05,0.459463345,OK
2.757960075243E-05,0.459992555,OK
2.548258842157E-05,0.452874622,OK
2.787917394229E-05,0.454428612,Retry:PMC_DIN_WAIT_FOR_STATUS
2.568230388132E-05,0.461880658,OK
2.678073891210E-05,0.482913976,Retry:KEYS TEST
3.247262952407E-05,0.467230343,OK
2.643123685680E-05,0.478783853,OK
2.892768010788E-05,0.463351162,OK
2.892768010788E-05,0.463351162,UNLOCK POSITION CONFIRMATION Error; (1)
2.613166366686E-05,0.538858409,OK
2.523294409586E-05,0.49413786,OK
2.643123685684E-05,0.447772743,OK
2.718016983218E-05,0.481138552,OK
2.513308636654E-05,0.449224466,OK
2.373507814599E-05,0.470363383,OK
2.318586063062E-05,0.485544184,OK
2.688059664208E-05,0.471514497,OK
2.508315750144E-05,0.450660673,OK
2.423436679610E-05,0.463983762,OK
2.887775124273E-05,0.464618509,Retry:PMC_DIN_WAIT_FOR_STATUS
2.593194820667E-05,0.485138811,OK
2.857817805272E-05,0.456717452,UNLOCK POSITION CONFIRMATION Error; (1)
2.553251728642E-05,0.480792944,OK
2.583209047678E-05,0.458438008,OK
2.792910280751E-05,0.459003798,Retry:PMC_DIN_WAIT_FOR_STATUS
2.673081004711E-05,0.458562927,OK
2.403465133608E-05,0.452616738,Retry:PMC_DIN_WAIT_FOR_STATUS
2.683066777715E-05,0.449896111,OK
2.513308636643E-05,0.454124141,OK
2.842839145730E-05,0.472535692,OK
2.718016983220E-05,0.439597975,OK
3.067519038320E-05,0.470176798,OK
2.857817805268E-05,0.475544461,Retry:PMC_DIN_WAIT_FOR_STATUS
2.792910280744E-05,0.463252053,OK
2.633137912682E-05,0.457707992,OK
2.653109458683E-05,0.471777127,OK
2.468372658134E-05,0.462945395,OK
2.458386885126E-05,0.476898534,UNLOCK POSITION CONFIRMATION Error; (1)
2.862810691775E-05,0.515867352,OK
2.568230388147E-05,0.479034596,OK
2.518301523147E-05,0.451166603,OK
2.683066777712E-05,0.484876883,OK
2.842839145768E-05,0.515603877,Retry:PMC_DIN_WAIT_FOR_STATUS
2.842839145770E-05,0.472196925,OK
3.037561719331E-05,0.486341,OK
2.882782237782E-05,0.48512633,OK
2.493337090637E-05,0.480873729,OK
2.493337090637E-05,0.480873729,UNLOCK POSITION CONFIRMATION Error; (1)
2.493337090637E-05,0.480873729,UNLOCK POSITION CONFIRMATION Error; (1)
2.693052550718E-05,0.467841621,OK
2.493337090640E-05,0.46730813,OK
2.463379771617E-05,0.465705311,OK
2.787917394248E-05,0.467284913,Retry:PMC_DIN_WAIT_FOR_STATUS
2.273650084556E-05,0.478318864,OK
2.278642971063E-05,0.468508774,OK
2.413450906580E-05,0.481338418,OK
2.802896053757E-05,0.462934804,OK
2.513308636652E-05,0.484107378,OK
2.623152139693E-05,0.476721437,OK
2.408458020115E-05,0.460434712,OK
3.092483470840E-05,0.497850628,TEST KEYS Error Keys Found = 4
2.263664311560E-05,0.473804337,OK
2.663095231677E-05,0.498172419,Retry:PMC_DIN_WAIT_FOR_STATUS
2.383493587601E-05,0.469843724,OK
2.528287296101E-05,0.454560225,OK
2.718016983228E-05,0.462999811,OK
2.448401112112E-05,0.48078166,Retry:PMC_DIN_WAIT_FOR_STATUS
2.688059664213E-05,0.446322045,TEST KEYS Error Keys Found = 2
2.757960075228E-05,0.439683143,UNLOCK POSITION CONFIRMATION Error; (1)
2.752967188723E-05,0.447004674,Retry:PMC_DIN_WAIT_FOR_STATUS
2.792910280754E-05,0.458134735,OK
2.533280182662E-05,0.452156257,OK
2.568230388171E-05,0.466231114,OK
2.478358431139E-05,0.472707897,Retry:PMC_DIN_WAIT_FOR_STATUS
2.732995642718E-05,0.475414248,OK
2.633137912694E-05,0.484355825,OK
2.633137912694E-05,0.484355825,UNLOCK POSITION CONFIRMATION Error; (1)
2.558244615165E-05,0.478176317,OK
2.558244615165E-05,0.478176317,Previous Station completed error
2.683066777683E-05,0.493866994,OK
2.473365544634E-05,0.470998279,Retry:PMC_DIN_WAIT_FOR_STATUS
2.653109458696E-05,0.446338497,OK
2.503322863637E-05,0.468543124,OK
2.343550495587E-05,0.445822675,UNLOCK POSITION CONFIRMATION Error; (1)
2.782924507749E-05,0.456122947,OK
2.463379771619E-05,0.545270892,Retry:PMC_DIN_WAIT_FOR_STATUS
2.298614517063E-05,0.463835573,OK
2.463379771618E-05,0.469476398,OK
2.463379771618E-05,0.469476398,UNLOCK POSITION CONFIRMATION Error; (1)
2.463379771618E-05,0.469476398,UNLOCK POSITION CONFIRMATION Error; (1)
2.653109458679E-05,0.456554247,OK
2.608173480181E-05,0.464848031,OK
2.328571836067E-05,0.477972107,OK
2.882782237778E-05,0.483709943,Retry:PMC_DIN_WAIT_FOR_STATUS
2.693052550714E-05,0.473151317,OK
3.017590173324E-05,0.496284955,TEST KEYS Error Keys Found = 8
2.463379771627E-05,0.473305997,OK
2.498329977142E-05,0.509963799,TEST KEYS Error Keys Found = 2
2.498329977142E-05,0.509963799,Previous Station completed error
2.578216161167E-05,0.523357002,OK
2.977647081303E-05,0.456173326,OK
2.493337090639E-05,0.475179337,OK
2.473365544618E-05,0.473318229,OK
2.543265955665E-05,0.47366324,OK
2.762952961742E-05,0.478067872,OK
2.373507814571E-05,0.482967205,OK
2.588201934174E-05,0.45006968,OK
2.433422452596E-05,0.457750488,OK
3.187348314389E-05,0.463987957,OK
2.648116572177E-05,0.44783809,OK
2.513308636654E-05,0.476359452,OK
2.782924507743E-05,0.481445416,OK
2.782924507743E-05,0.481445416,UNLOCK POSITION CONFIRMATION Error; (1)
2.827860486262E-05,0.464232311,OK
2.728002756227E-05,0.447469563,UNLOCK POSITION CONFIRMATION Error; (1)
2.728002756227E-05,0.447469563,UNLOCK POSITION CONFIRMATION Error; (1)
2.493337090636E-05,0.464839448,OK
2.493337090636E-05,0.464839448,UNLOCK POSITION CONFIRMATION Error; (1)
2.343550495574E-05,0.491297499,UNLOCK POSITION CONFIRMATION Error; (1)
2.303607403575E-05,0.471077417,Retry:PMC_DIN_WAIT_FOR_STATUS
2.862810691770E-05,0.446703754,OK
2.747974302207E-05,0.457355461,OK
2.458386885068E-05,0.484694992,OK
2.718016983217E-05,0.445048429,OK
2.613166366688E-05,0.450438587,OK
2.613166366688E-05,0.450438587,UNLOCK POSITION CONFIRMATION Error; (1)
3.102469243858E-05,0.466300165,OK
2.847832032268E-05,0.453759514,OK
2.353536268571E-05,0.479998624,OK
2.228714106038E-05,0.453906756,OK
2.643123685673E-05,0.447200645,OK
2.603180593677E-05,0.434017109,OK
2.603180593677E-05,0.434017109,UNLOCK POSITION CONFIRMATION Error; (1)
2.757960075242E-05,0.477946794,OK
2.882782237769E-05,0.446370879,OK
2.533280182654E-05,0.442895372,OK
2.533280182661E-05,0.471170737,OK
2.363522041581E-05,0.478578994,OK
2.603180593685E-05,0.47440818,OK
2.393479360597E-05,0.468581369,Retry:PMC_DIN_WAIT_FOR_STATUS
2.523294409635E-05,0.446296733,OK
2.673081004704E-05,0.456273283,Retry:PMC_DIN_WAIT_FOR_STATUS
2.633137912690E-05,0.456618792,UNLOCK POSITION CONFIRMATION Error; (1)
2.238699879009E-05,0.45491921,OK
2.438415339108E-05,0.477771598,Retry:PMC_DIN_WAIT_FOR_STATUS
2.578216161178E-05,0.462933306,OK
2.453393998630E-05,0.483451162,OK
2.972654194817E-05,0.475145934,OK
2.802896053751E-05,0.478384471,OK
2.423436679605E-05,0.47068867,OK
2.792910280746E-05,0.472023221,TEST KEYS Error Keys Found = 0
2.678073891193E-05,0.471990168,OK
2.902753783751E-05,0.471611806,OK
2.902753783751E-05,0.471611806,UNLOCK POSITION CONFIRMATION Error; (1)
2.902753783748E-05,0.459107849,OK
2.428429566117E-05,0.451614313,OK
2.513308636628E-05,0.466086568,UNLOCK POSITION CONFIRMATION Error; (1)
2.333564722557E-05,0.479088518,OK
2.603180593680E-05,0.482298003,OK
2.997618627296E-05,0.453196812,OK
2.398472247108E-05,0.45825182,TEST KEYS Error Keys Found = 0
2.757960075236E-05,0.450636254,OK
2.747974302191E-05,0.530867622,OK
2.713024096727E-05,0.460971252,OK
2.553251728661E-05,0.530163572,Retry:PMC_DIN_WAIT_FOR_STATUS
2.747974302217E-05,0.533492988,TEST KEYS Error Keys Found = 0
2.593194820674E-05,0.498536402,Retry:PMC_DIN_WAIT_FOR_STATUS
2.568230388161E-05,0.442297875,OK
2.777931621244E-05,0.45936773,OK
2.433422452617E-05,0.477245991,OK
2.418443793101E-05,0.476251755,OK
2.218728333035E-05,0.488609275,OK
2.663095231708E-05,0.473162051,OK
2.403465133604E-05,0.501796515,Retry:PMC_DIN_WAIT_FOR_STATUS
2.563237501669E-05,0.473211631,UNLOCK POSITION CONFIRMATION Error; (1)
2.548258842161E-05,0.47764008,OK
2.887775124235E-05,0.456652048,UNLOCK POSITION CONFIRMATION Error; (1)
2.578216161167E-05,0.470371122,OK
2.413450906601E-05,0.454910175,OK
2.488344204127E-05,0.45390041,OK
2.593194820682E-05,0.470696909,Retry:PMC_DIN_WAIT_FOR_STATUS
2.558244615157E-05,0.455098406,OK
2.633137912692E-05,0.460396974,OK
2.558244615134E-05,0.466773891,OK
2.428429566122E-05,0.46245903,UNLOCK POSITION CONFIRMATION Error; (1)
2.378500701097E-05,0.483641042,OK
2.653109458703E-05,0.513259761,TEST KEYS Error Keys Found = 12
2.668088118210E-05,0.475014066,OK
2.867803578244E-05,0.548762579,OK
2.548258842165E-05,0.470961282,OK
2.683066777705E-05,0.455917539,OK
2.438415339116E-05,0.477949539,Retry:PMC_DIN_WAIT_FOR_STATUS
2.678073891185E-05,0.456812166,OK
2.538273069161E-05,0.474551973,OK
2.668088118205E-05,0.458431511,OK
2.658102345206E-05,0.492452856,OK
2.463379771633E-05,0.463034019,OK
2.583209047634E-05,0.478593173,Retry:PMC_DIN_WAIT_FOR_STATUS
2.548258842164E-05,0.4600925,OK
2.767945848234E-05,0.471564873,OK
2.558244615169E-05,0.554602926,OK
2.952682648791E-05,0.436111077,OK
2.708031210217E-05,0.479622309,Retry:PMC_DIN_WAIT_FOR_STATUS
2.498329977137E-05,0.481462841,OK
2.498329977137E-05,0.481462841,UNLOCK POSITION CONFIRMATION Error; (1)
2.443408225623E-05,0.476683342,UNLOCK POSITION CONFIRMATION Error; (1)
