SEGMENT1,DESCRIPTION,INVENTORY_ITEM_STATUS_CODE,MODEL,CATALOG,FUNCION,PACKAGING,OUTSIDEDESIGNDSG,OUTSIDEFINISHFIN,INSIDEDESIGNDSG,INSIDEFINISHFIN,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ESCUTCHEONOUTSIDEDESIGNDSG,ROSEOUTSIDEFINISHFIN,ROSEINSIDEDESIGNDSG,ESCUTCHEONINSIDEDESIGNDSG,ROSEINSIDEFINISHFIN,HANDING,LATCH,LATCHFINISHFIN,STRIKE,STRIKEFINISHFIN,DOORTHICKNESS,PLANNER_CODE
194555001114,LOCK.F51A.GEO.605.16-086.10-027.134.KA2.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,605,,,,,,,,,,,,16-086,,10-027,,134,F51BKS
FKL-SLLK*8184139,LOCK.F51A.GEO.622.716.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,622,,716,,,,,,,,,,16-086,,10-027,,134,F51BKR
FKL-SLLK*8184177,LOCK.F51A.ACC.622.608.RH.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,622,,608,,,,,,,,,RH,16-086,,10-027,,134,F51BL
FKL-SLLK*8184183,LOCK.F51A.ACC.622.608.LH.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,622,,608,,,,,,,,,LH,16-086,,10-027,,134,F51BL
194555000971,LOCK.F51A.ELA.716.16-086.10-025.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,716,,,,,,,,,,,,16-086,,10-025,,134,F51BL
194555004764,LOCK.F10.ACC.620.716.LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,ACC,620,,716,,,,,,,,,LH,16-080,,10-027,,134,F10BL
FKL-SLLK*8669053,LOCK.F51A.ELA.626.16-086.10-027.134.KA.DETAIL.C.48-180.4,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,626,,,,,,,,,,,,16-086,,10-027,,134,F51BL
FKL-SLLK*8669061,LOCK.F51A.LAT.619.16-086.10-027.134.MK.DETAIL.C.48-180.1,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,619,,,,,,,,,,,,16-086,,10-027,,134,F51BL
FKL-SLLK*8730455,LOCK.F51A.FLA.620.16-211.10-063.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,620,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
FKL-SLLK*8780006,LOCK.F51A.GEO.619.FLA.RH.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,619,FLA,,,,,,,,,,RH,16-086,,10-027,,134,F51BKR
FKL-SLLK*8780010,LOCK.F51A.GEO.619.FLA.LH.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,619,FLA,,,,,,,,,,LH,16-086,,10-027,,134,F51BKR
FKL-SLLK*8522646,LOCK.F51A.NBK.622.16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,NBK,622,,,,,,,,,,,,16-086,,10-027,,134,F51BL
FKL-SLLK*8522846,LOCK.F80.BRW.622.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F80,,BRW,622,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555070769,LOCK.F10.NBK.619.622.ULD..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,NBK,619,,622,ULD.,ULD.,ULD.,,,,,,,16-080,,10-027,,134,F10BLD
194555069961,LOCK.F51A.SAC.716.ADD..16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SAC,716,,,ADD.,ADD.,ADD.,,,,,,,16-211,,10-063,,134,F51BLDT
194555069954,LOCK.F10.CF.LAT.622.GRW..16-203.10-001.134,ACTIVE,FKL-SLLK,LOCK,F10,,LAT,622,,,GRW.,GRW.,GRW.,,,,,,,16-203,,10-001,,134,F10BLDU
194555001121,LOCK.F51A.WIT.716.CAM..16-207.10-026.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,WIT,716,,,CAM.,CAM.,CAM.,,,,,,,16-207,,10-026,,134,F51BLD
