cell_name,OP_STD,wk_planned_hc,schedule_factor
CONTROL-C2,CTLA,8,90
CONTROL-C2,CTLB,8,90
CONTROL-C2,CTLC,8,90
CONTROL-C2,CTLD,8,90
CONTROL-C2,CTLE,8,90
CONTROL-C2,CTLF,8,90
FCUST-C29,FC13,5,213
FCUST-C29,FC09,5,87
FCUST-C29,FC15,5,249
FCUST-C29,FC11,5,200
FCUST-C29,FC14,5,149
FCUST-C29,FC10,5,78
FCUST-C29,FC16,5,190
FCUST-C29,FC12,5,300
FCUST-C29,FC76,5,111
FCUST-C29,FC01,5,45
FCUST-C29,FC03,5,41
FCUST-C29,FC04,5,52
FCUST-C29,FC05,5,124
FCUST-C29,FC06,5,107
FCUST-C29,FC07,5,106
FCUST-C29,FC08,5,113
FCUST-C29,FC77,5,109
FCUST-C28,170A,4,50
FCUST-C28,170B,4,50
FCUST-C28,170C,4,58
FCUST-C28,170D,4,57
FCUST-C28,170E,4,70
FCUST-C28,170F,4,70
FCUST-C28,170G,4,74
FCUST-C28,170H,4,122
FCUST-C28,170P,4,49
SENSE-C9,479A,5,68
SENSE-C9,479B,5,68
DENALI-C39,NCDA,11,125
DENALI-C39,NCDB,11,131
DENALI-C39,NCDE,11,77
FG-C188,FGPB,4,58
FG-C188,FGPI,4,42
FG-C18,FGPA,4,68
FG-C18,FGPG,4,65
FG-C10,F62B,12,95
FG-C10,F62G,12,97
FG-C10,F62H,12,97
FG-C10,FGPC,12,95
FG-C10,FGPE,12,97
NEXIA-C3,F595,11,95
NEXIA-C3,F599,11,94
HIOC-C34,FGPM,2,27
HIOC-C34,H285,2,38
HIOC-C34,H58A,2,44
HIOC-C34,H58B,2,45
HIOC-C34,H59A,2,43
HIOC-C34,H59B,2,43
HIOC-C34,H60A,2,46
HIOC-C34,H60B,2,51
HIOC-C34,H92A,2,48
HIOC-C34,H92B,2,55
HIOC-C34,H93A,2,57
HIOC-C34,H93B,2,44
HIOC-C34,H94A,2,48
HIOC-C34,H94B,2,51
BSLCK-C13,B60A,9,100
BSLCK-C13,B60B,9,100
BSLCK-C13,B60C,9,106
